Category,Observation,Description,Title,Board A,File A,Date A,Legend A,Board B,File B,Date B,Legend B,Board C,File C,Date C,Legend C
Sinal,Características do Sinal,sinal e osciliscópio conectados diretamente por seus cabos,Características do Sinal Gerado,None,ALL0000,13/05/2019,Sinal gerado,,,,,,,,
Geometria,Acoplamento capacitivo,distância entre trilhas coplanares e paralelas em face simples,Distância entre trilhas face simples,Board 2,ALL0002,13/05/2019,B2 (D = 0.25 cm; L = 3  cm); Pad_L = prob; Pad_R = sig,Board 1,ALL0001,13/05/2019,B1 (D = 0.50 cm; L = 3 cm); Pad_L = prob; Pad_R = sig,,,,
Geometria,Acoplamento capacitivo,comprimento de trilhas coplanares e paralelas em face simples,Comprimento de trilhas face simples,Board 2,ALL0002,13/05/2019,B2 (D = 0.25 cm; L = 3  cm); Pad_L = prob; Pad_R = sig,Board 3,ALL0003,13/05/2019,B3 (D = 0.25 cm; L = 6 cm); Pad_L = prob; Pad_R = sig,,,,
Geometria,Acoplamento capacitivo,distância entre trilhas coplanares e paralelas em face dupla; plano de cobre desconectado,Distância entre trilhas dupla face,Board 6,ALL0011,13/05/2019,B6 (D = 0.25 cm; L = 3 cm); Pad_L = prob; Pad_R = sig; Plane = off,Board 5,ALL0008,13/05/2019,B5 (D = 0.50 cm; L = 3 cm); Pad_L = prob; Pad_R = sig; Plane = off,,,,
Geometria,Acoplamento capacitivo,distância entre trilhas coplanares e paralelas em face dupla; plano de cobre conectado na referência,Distância entre trilhas dupla face,Board 6,ALL0012,13/05/2019,B6 (D = 0.25 cm; L = 3 cm); Pad_L = prob; Pad_R = sig; Plane = gnd,Board 5,ALL0010,13/05/2019,B5 (D = 0.50 cm; L = 3 cm); Pad_L = prob; Pad_R = sig; Plane = gnd,,,,
Geometria,Acoplamento capacitivo,comprimento de trilhas coplanares e paralelas em face dupla; plano de cobre desconectado,Comprimento de trilhas dupla face,Board 6,ALL0011,13/05/2019,B6 (D = 0.25 cm; L = 3 cm); Pad_L = prob; Pad_R = sig; Plane = off,Board 7,ALL0016,13/05/2019,B7 (D = 0.25 cm; L = 3 cm); Pad_L = prob; Pad_R = sig; Plane = off,,,,
Geometria,Acoplamento capacitivo,comprimento de trilhas coplanares e paralelas em face dupla; plano de cobre conectado na referência,Comprimento de trilhas dupla face,Board 6,ALL0012,13/05/2019,B6 (D = 0.25 cm; L = 3 cm); Pad_L = prob; Pad_R = sig; Plane = gnd,Board 7,ALL0017,13/05/2019,B7 (D = 0.25 cm; L = 3 cm); Pad_L = prob; Pad_R = sig; Plane = gnd,,,,
Referenciamento,Acoplamento capacitivo,existência; conexão e desconexão do plano de cobre à referência,Efeito do plano de cobre 1,Board 1,ALL0001,13/05/2019,B1 (D = 0.50 cm; L = 3 cm); Pad_L = prob; Pad_R = sig,Board 5,ALL0008,13/05/2019,B5 (D = 0.50 cm; L = 3 cm); Pad_L = prob; Pad_R = sig; Plane = off,Board 5,ALL0010,13/05/2019,B5 (D = 0.50 cm; L = 3 cm); Pad_L = prob; Pad_R = sig; Plane = gnd
Referenciamento,Acoplamento capacitivo,existência; conexão e desconexão do plano de cobre à referência,Efeito do plano de cobre 2,Board 2,ALL0002,13/05/2019,B2 (D = 0.25 cm; L = 3 cm); Pad_L = prob; Pad_R = sig,Board 6,ALL0011,13/05/2019,B6 (D = 0.25 cm; L = 3 cm); Pad_L = prob; Pad_R = sig; Plane = off,Board 6,ALL0012,13/05/2019,B6 (D = 0.25 cm; L = 3 cm); Pad_L = prob; Pad_R = sig; Plane = gnd
Referenciamento,Acoplamento capacitivo,existência; conexão e desconexão do plano de cobre à referência,Efeito do plano de cobre 3,Board 3,ALL0003,13/05/2019,B3 (D = 0.25 cm; L = 6 cm); Pad_L = prob; Pad_R = sig,Board 7,ALL0016,13/05/2019,B7 (D = 0.25 cm; L = 3 cm); Pad_L = prob; Pad_R = sig; Plane = off,Board 7,ALL0017,13/05/2019,B7 (D = 0.25 cm; L = 3 cm); Pad_L = prob; Pad_R = sig; Plane = gnd
